date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:46	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jun%202022%2008:58:46%20GMT	http://localhost:81/robots.txt		(from )
09:58:46	24929/24929	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2008:58:46%20GMT	http://localhost:81/0porcent0/	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/index.html	(from )
09:58:47	28201/28201	---M--	200	added ('OK')	text/css	etag:%226e29-5e2910239e64a%22	http://localhost:81/0porcent0/wp-content/themes/0porcent0_template/style.css	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/themes/0porcent0_template/style.css	(from http://localhost:81/0porcent0/)
09:58:48	88870/88870	---M--	200	added ('OK')	text/css	etag:%2215b26-5dfd1bc0da866%22	http://localhost:81/0porcent0/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-includes/css/dist/block-library/style.minf049.css	(from http://localhost:81/0porcent0/)
09:58:49	973/973	---M--	200	added ('OK')	text/css	etag:%223cd-5df817ce71d4c%22	http://localhost:81/0porcent0/wp-content/plugins/dco-comment-attachment/assets/dco-comment-attachment.css?ver=2.3.1	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/plugins/dco-comment-attachment/assets/dco-comment-attachment254d.css	(from http://localhost:81/0porcent0/)
09:58:49	5763/5763	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262f85b56394bb65abadbd64ee4d544bb%22	http://localhost:81/0porcent0/home/feed/	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/home/feed/index.html	(from http://localhost:81/0porcent0/)
09:58:50	1422/1422	---M-Z	200	added ('OK')	application/json	date:Wed,%2029%20Jun%202022%2008:58:49%20GMT	http://localhost:81/0porcent0/wp-json/wp/v2/pages/13	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-json/wp/v2/pages/13.json	(from http://localhost:81/0porcent0/)
09:58:50	840/840	---M-Z	200	added ('OK')	text/xml	date:Wed,%2029%20Jun%202022%2008:58:50%20GMT	http://localhost:81/0porcent0/xmlrpc.php?rsd	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/xmlrpc0db0.php	(from http://localhost:81/0porcent0/)
09:58:50	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80%22	http://localhost:81/0porcent0/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost:81/0porcent0/)
09:58:51	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost:81/0porcent0/wp-includes/wlwmanifest.xml	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-includes/wlwmanifest.xml	(from http://localhost:81/0porcent0/)
09:58:51	2386/2386	---M-Z	200	added ('OK')	application/json	date:Wed,%2029%20Jun%202022%2008:58:51%20GMT	http://localhost:81/0porcent0/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A81%2F0porcent0%2F	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-json/oembed/1.0/embedf754.json	(from http://localhost:81/0porcent0/)
09:58:52	2454/2454	---M-Z	200	added ('OK')	text/xml	date:Wed,%2029%20Jun%202022%2008:58:51%20GMT	http://localhost:81/0porcent0/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A81%2F0porcent0%2F&format=xml	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-json/oembed/1.0/embedae2c	(from http://localhost:81/0porcent0/)
09:58:52	160837/160837	---MCZ	200	added ('OK')	application/json	date:Wed,%2029%20Jun%202022%2008:58:50%20GMT	http://localhost:81/0porcent0/wp-json/	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-json/index.html	(from http://localhost:81/0porcent0/)
09:59:01	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300%22	http://localhost:81/0porcent0/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-includes/js/jquery/jquery.minaf6c.js	(from http://localhost:81/0porcent0/)
09:59:02	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jun%202022%2008:59:01%20GMT	http://localhost:81/0porcent0/about	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/about.d.delayed	(from http://localhost:81/0porcent0/)
09:59:02	17966/17966	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2008:59:02%20GMT	http://localhost:81/0porcent0/about/	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/about/index.html	(from http://localhost:81/0porcent0/)
09:59:06	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-46744%22	https://code.jquery.com/jquery-3.6.0.js	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/code.jquery.com/jquery-3.6.0.js	(from http://localhost:81/0porcent0/)
09:59:13	529062/529062	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd700-812a6%22	https://code.jquery.com/ui/1.13.1/jquery-ui.js	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/code.jquery.com/ui/1.13.1/jquery-ui.js	(from http://localhost:81/0porcent0/)
09:59:16	88026/88026	---M--	200	added ('OK')	image/png	etag:%22157da-5dd56124d3ebf%22	http://localhost:81/0porcent0/wp-content/themes/0porcent0_template/images/tab-help.png	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/themes/0porcent0_template/images/tab-help.png	(from http://localhost:81/0porcent0/)
09:59:33	100317/100317	---M--	200	added ('OK')	image/jpeg	etag:%22187dd-5df82bb5a5d11%22	http://localhost:81/0porcent0/wp-content/uploads/2022/05/IMG_20220320_141903_895.jpg	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/uploads/2022/05/IMG_20220320_141903_895.jpg	(from http://localhost:81/0porcent0/)
09:59:38	340673/340673	---M--	200	added ('OK')	image/gif	etag:%22532c1-5dfae5aa6495c%22	http://localhost:81/0porcent0/wp-content/themes/0porcent0_template/images/favicon-gif.gif	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/themes/0porcent0_template/images/favicon-gif.gif	(from http://localhost:81/0porcent0/)
10:00:07	333806/333806	---M--	200	added ('OK')	image/jpeg	etag:%22517ee-5df81bc6fa018%22	http://localhost:81/0porcent0/wp-content/uploads/2022/05/zine_1_20224.jpg	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/uploads/2022/05/zine_1_20224.jpg	(from http://localhost:81/0porcent0/)
10:00:08	180359/180359	---M--	200	added ('OK')	image/png	etag:%222c087-5de18b955c5ca%22	http://localhost:81/0porcent0/wp-content/themes/0porcent0_template/images/add-img.png	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/wp-content/themes/0porcent0_template/images/add-img.png	(from http://localhost:81/0porcent0/)
10:00:08	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jun%202022%2009:00:08%20GMT	http://localhost:81/0porcent0/archive	C:/Users/Utilizador/Desktop/0porcent0_static_01-07/localhost_81/0porcent0/archive.15.delayed	(from http://localhost:81/0porcent0/)
